Status,Monitor,Total time (ms),Status2,Description,Step Number,Date,Time,Date_Time
Unconfirmed,Hogen,"3,548",7004,Step 5 (Open workspace): Element for content check 'Synthetic monitoring' not found.,5,5/1/2019,3:59:00,5/1/2019 3:59
Unconfirmed,WhiteUS,"43,572",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,4:10:00,5/1/2019 4:10
Unconfirmed,WhiteUS,"43,572",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,4:10:00,5/1/2019 4:10
Unconfirmed,HSFNYC,"3,906",7004,Step 5 (Open workspace): Element for content check 'Synthetic monitoring' not found.,5,5/1/2019,4:11:00,5/1/2019 4:11
Unconfirmed,Relate8,"97,047",7009,Step 9 (Open JE_Test_001): Frame '/Relativity/CustomPages/' not found.,9,5/1/2019,4:26:00,5/1/2019 4:26
Unconfirmed,RalUS1,"107,148",7005,"Step 9 (Open JE_Test_001): Element 'Test Fios,' not found.",9,5/1/2019,4:30:00,5/1/2019 4:30
Unconfirmed,WhiteUS,"49,808",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,4:39:00,5/1/2019 4:39
Unconfirmed,WhiteUS,"49,808",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,4:39:00,5/1/2019 4:39
Unconfirmed,Relate8,"96,788",7009,Step 9 (Open JE_Test_001): Frame '/Relativity/CustomPages/' not found.,9,5/1/2019,4:40:00,5/1/2019 4:40
Unconfirmed,Vedder,"11,885",7009,Step 7 (Run reset script): Frame 'externalPage' not found.,7,5/1/2019,4:43:00,5/1/2019 4:43
Unconfirmed,Vedder,"11,885",7009,Step 7 (Run reset script): Frame 'externalPage' not found.,7,5/1/2019,4:43:00,5/1/2019 4:43
Unconfirmed,Butler,"106,887",7005,"Step 9 (Open JE_Test_001): Element 'Test Fios,' not found.",9,5/1/2019,4:51:00,5/1/2019 4:51
Unconfirmed,WhiteUS,"60,273",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,4:54:00,5/1/2019 4:54
Unconfirmed,WhiteUS,"60,273",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,4:54:00,5/1/2019 4:54
Unconfirmed,RelateC,"5,269",7004,Step 5 (Open workspace): Element for content check 'Synthetic monitoring' not found.,5,5/1/2019,4:57:00,5/1/2019 4:57
Unconfirmed,WhiteUS,"41,451",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,5:09:00,5/1/2019 5:09
Unconfirmed,WhiteUS,"41,451",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,5:09:00,5/1/2019 5:09
Unconfirmed,RelateC,"6,819",7004,Step 5 (Open workspace): Element for content check 'Synthetic monitoring' not found.,5,5/1/2019,5:23:00,5/1/2019 5:23
Unconfirmed,IRIC01,"49,822",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,5:37:00,5/1/2019 5:37
Unconfirmed,ETAR,"20,448",7004,Step 5 (Open workspace): Element for content check 'Synthetic monitoring' not found.,5,5/1/2019,5:46:00,5/1/2019 5:46
Unconfirmed,WhiteUS,"35,445",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,5:53:00,5/1/2019 5:53
Unconfirmed,WhiteUS,"35,445",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,5:53:00,5/1/2019 5:53
Unconfirmed,IRIC01,"85,907",7005,"Step 9 (Open JE_Test_001): Element 'Test Fios,' not found.",9,5/1/2019,6:19:00,5/1/2019 6:19
Unconfirmed,RelateC,"6,512",7004,Step 5 (Open workspace): Element for content check 'Synthetic monitoring' not found.,5,5/1/2019,6:26:00,5/1/2019 6:26
Unconfirmed,RelateC,"7,064",7004,Step 5 (Open workspace): Element for content check 'Synthetic monitoring' not found.,5,5/1/2019,6:33:00,5/1/2019 6:33
Unconfirmed,WhiteUS,"68,096",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,6:37:00,5/1/2019 6:37
Unconfirmed,WhiteUS,"68,096",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,6:37:00,5/1/2019 6:37
Unconfirmed,RalUS1,"10,627",7004,Step 5 (Open workspace): Element for content check 'Synthetic monitoring' not found.,5,5/1/2019,6:48:00,5/1/2019 6:48
Unconfirmed,WhiteUS,"43,824",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,6:52:00,5/1/2019 6:52
Unconfirmed,WhiteUS,"43,824",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,6:52:00,5/1/2019 6:52
Unconfirmed,Relate8,"11,217",7004,Step 5 (Open workspace): Element for content check 'Synthetic monitoring' not found.,5,5/1/2019,6:53:00,5/1/2019 6:53
Confirmed,Relate8,"88,906",7009,Step 9 (Open JE_Test_001): Frame '/Relativity/CustomPages/' not found.,9,5/1/2019,6:55:00,5/1/2019 6:55
Unconfirmed,WhiteUS,"39,943",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,7:07:00,5/1/2019 7:07
Unconfirmed,WhiteUS,"39,943",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,7:07:00,5/1/2019 7:07
Unconfirmed,RelateC,"6,843",7004,Step 5 (Open workspace): Element for content check 'Synthetic monitoring' not found.,5,5/1/2019,7:11:00,5/1/2019 7:11
Unconfirmed,WhiteUS,"57,372",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,7:36:00,5/1/2019 7:36
Unconfirmed,WhiteUS,"57,372",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,7:36:00,5/1/2019 7:36
Unconfirmed,WhiteUS,"67,950",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,7:51:00,5/1/2019 7:51
Unconfirmed,WhiteUS,"67,950",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,7:51:00,5/1/2019 7:51
Unconfirmed,RalUS1,"17,649",7004,Step 5 (Open workspace): Element for content check 'Synthetic monitoring' not found.,5,5/1/2019,7:52:00,5/1/2019 7:52
Unconfirmed,WhiteUS,"53,937",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,8:20:00,5/1/2019 8:20
Unconfirmed,WhiteUS,"53,937",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,8:20:00,5/1/2019 8:20
Unconfirmed,Relate8,"42,993",7004,Step 10 (Code and open next doc): 'destruct' not found.,10,5/1/2019,8:32:00,5/1/2019 8:32
Unconfirmed,RelateC,"6,099",7004,Step 5 (Open workspace): Element for content check 'Synthetic monitoring' not found.,5,5/1/2019,8:33:00,5/1/2019 8:33
Unconfirmed,RelateC,"4,899",7004,Step 5 (Open workspace): Element for content check 'Synthetic monitoring' not found.,5,5/1/2019,8:58:00,5/1/2019 8:58
Confirmed,RelateC,"8,980",7004,Step 5 (Open workspace): Element for content check 'Synthetic monitoring' not found.,5,5/1/2019,8:59:00,5/1/2019 8:59
Unconfirmed,WhiteUS,"51,022",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,9:02:00,5/1/2019 9:02
Unconfirmed,WhiteUS,"51,022",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,9:02:00,5/1/2019 9:02
Unconfirmed,Relate20,"81,959",7020,Step 11 (Save PDF): Transaction processing time exceeded 4 minutes,11,5/1/2019,9:07:00,5/1/2019 9:07
Unconfirmed,Relate20,"81,959",7020,Step 11 (Save PDF): Transaction processing time exceeded 4 minutes,11,5/1/2019,9:07:00,5/1/2019 9:07
Unconfirmed,IRIC01,"60,507",7004,Step 10 (Code and open next doc): 'destruct' not found.,10,5/1/2019,9:09:00,5/1/2019 9:09
